epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,3016.67,0.70479,0.52393,1.00228,0.99783,0.84746,0.93693,0.78273,0.72295,0.99233,0.74476,0.00143768,0.00143768,0.00143768
144,3035.43,0.62895,0.53258,0.94372,0.94687,0.90627,0.93878,0.80879,0.70701,0.95491,0.73574,0.00143372,0.00143372,0.00143372
145,3054.35,0.62588,0.51646,0.96986,0.99742,0.86441,0.93688,0.81122,0.68776,0.73413,0.7306,0.00142976,0.00142976,0.00142976
146,3072.83,0.61193,0.55572,0.95174,0.88969,0.95694,0.97322,0.8095,0.73147,0.51983,0.74447,0.0014258,0.0014258,0.0014258
147,3092.05,0.76684,0.58562,1.01562,0.94388,0.85522,0.97373,0.79814,0.79752,0.62999,0.7727,0.00142184,0.00142184,0.00142184
148,3110.87,0.73215,0.57669,1.0141,0.92697,0.86055,0.96295,0.78532,0.81012,0.94495,0.78239,0.00141788,0.00141788,0.00141788
149,3130.05,0.82022,0.73421,0.96436,0.90773,0.91525,0.96812,0.79993,0.78569,1.01547,0.77728,0.00141392,0.00141392,0.00141392
150,3149.11,0.65648,0.55311,1.00717,0.93812,0.89831,0.96998,0.80562,0.73918,1.03865,0.75949,0.00140996,0.00140996,0.00140996
151,3168.17,0.63169,0.59919,0.98492,0.98225,0.93805,0.97247,0.80059,0.75168,0.72006,0.76334,0.001406,0.001406,0.001406
152,3187.33,0.76168,0.60911,1.03793,0.94889,0.94404,0.9698,0.75424,0.77443,0.76463,0.76885,0.00140204,0.00140204,0.00140204
153,3207.9,0.66606,0.5078,0.98486,0.9821,0.93005,0.97519,0.77327,0.75446,0.74627,0.76967,0.00139808,0.00139808,0.00139808
154,3226.78,0.70306,0.57454,1.0633,0.98199,0.92431,0.97596,0.79943,0.73067,0.74709,0.76651,0.00139412,0.00139412,0.00139412
